Elemento	Estrato	x	y
1	1	500	2374
2	1	119	2624
3	1	593	3293
4	1	569	3269
5	1	668	2157
6	1	783	3716
7	1	402	3302
8	1	542	3926
9	1	643	3956
10	1	575	2201
11	1	541	3471
12	1	575	3020
13	1	260	2611
14	1	161	2387
15	1	102	3148
16	1	702	3401
17	1	560	3090
18	1	423	3961
19	1	735	3580
20	1	352	3823
21	1	878	3440
22	1	102	2053
23	1	940	2317
24	1	462	2636
25	1	482	2737
26	1	374	2342
27	1	202	2181
28	1	477	2424
29	1	204	2805
30	1	229	3504
31	2	683	2920
32	2	991	2919
33	2	577	2048
34	2	308	3222
35	2	368	3747
36	2	518	2685
37	2	228	3122
38	2	276	2669
39	2	955	2741
40	2	220	3696
41	2	102	2438
42	2	513	2814
43	2	520	3152
44	2	773	2553
45	2	822	2962
46	2	113	3563
47	2	684	2179
48	2	389	3803
49	2	780	2620
50	2	695	3529
